Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Target_Gender__c,Buy_Type__c,Delivery_Market__c,Frequency_Cap__c,Frequency_Scope__c,Media_Code__c,Special_Product__c,Target_Age_Freeform_Entry__c
0063100000fmdL1AAI,Belgium:20160622-FR,Xaxis TV,"Dec 19, 2016","Dec 28, 2016",3000,Sing TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,150000,0,Externally Managed,Socio-demo,,20,,CPM,Belgium,3,Per day,Video,Xaxis TV,15-34
0063100000fmdLZAAY,Belgium:20160645-NL,Xaxis Display,"Jan 16, 2017","Jan 22, 2017",1000,Promo Januari R99 Mobile-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,333333,0,Externally Managed,Broad Reach,,3,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLeAAI,Belgium:20160647-FR,Xaxis TV,"Jan 13, 2017","Feb 9, 2017",9255,Abarth 124 Spider BMS TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,355961.5,0,Externally Managed,Interest,BMS_2017_124_Spider,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,35+
0063100000fmdLBAAY,Belgium:20160630-NL,Xaxis Audio,"Jan 16, 2017","Jan 21, 2017",3200,R99 Audio Wk 3-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Nathalie Vanderlinden,320000,0,Externally Managed,Broad Reach,,10,,CPM,Belgium,3,Per day,Radio,Xaxis Audio,
0063100000fmdLTAAY,Belgium:20160673-FR,Xaxis Display,"Jan 2, 2017","Jan 15, 2017",1883.4,Zelf Beleggen January RT & LAL-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Marie Julie Billen,376680,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLkAAI,Belgium:20160636-NL,Xaxis Display,"Feb 6, 2017","Feb 26, 2017",2520,Aquaclean MFT RT (view Mera TV)-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,504000,0,Externally Managed,Retargeting,,5,,CPM,Belgium,3,Per day,Display,Xaxis Display,
0063100000fmdLUAAY,Belgium:20160643-NL,Xaxis Display,"Jan 9, 2017","Jan 15, 2017",1000,Promo Jabuari Hamsteren W2-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,285714,0,Externally Managed,Socio-demo,,3.5,Female,CPM,Belgium,3,Per day,Display,Xaxis Display,18-54
0063100000fmdLMAAY,Belgium:20160660-NL,Xaxis TV,"Jan 20, 2017","Feb 13, 2017",5500,TIPO BMS TV-NL,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Melissa Vitabile,250000,0,Externally Managed,Socio-demo,,22,,CPM,Belgium,3,Per day,Video,Xaxis TV,30-65
0063100000fmdL8AAI,Belgium:20160664-FR,Xaxis Display,"Dec 22, 2016","Jan 1, 2017",999.9,Image EOY Display Interest-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,249975,0,Externally Managed,Interest,Finance,4,,CPM,Belgium,3,Per day,Display,Xaxis Display,40+
0063100000fmdLFAAY,Belgium:20160665-FR,Xaxis TV,"Jan 2, 2017","Jan 31, 2017",6249.375,Image EOY TV-FR,Net Cost (Calc Margin),MediaTrader,012i0000001EB0dAAG,Robin Gerondal,240360.6,0,Externally Managed,Interest,Finance,26,,CPM,Belgium,3,Per day,Video,Xaxis TV,40+
