Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,CurrencyIsoCode,Name,CloseDate,StageName
Xaxis,a003100000eIbGSAA0,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfsMAAT,DKK,"Scandinavian Airlines System Denmark-Norway-Sweden - 2016 - SAS Global 360 / US, HK, JP, UK","Oct 16, 2016",Closed Won
Xaxis,a003100000eIbGSAA0,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfsMAAT,DKK,Scandinavian Airlines System Denmark-Norway-Sweden - Germany Full Year/Online,"Dec 31, 2016",Closed Won
Xaxis,a003100000eIbGSAA0,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfsMAAT,DKK,Scandinavian Airlines System Denmark-Norway-Sweden - Global cabins and new routes 2016 T1 / Digital,"Apr 30, 2016",Closed Won
Xaxis,a003100000eIbGSAA0,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfsMAAT,DKK,Scandinavian Airlines System Denmark-Norway-Sweden - SAS Hamburg catchment area / Uge 41-48 / Digital,"Dec 5, 2016",Closed Won
Xaxis,a003100000eIbGSAA0,a00i000000GIJkrAAH,012i0000001EAyNAAW,0016300000FXfsMAAT,DKK,Scandinavian Airlines System Denmark-Norway-Sweden - SAS International Full Year 2016,"Dec 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Australia Lead RTG Q2 2016,"May 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Australia RTG Q2 2016,"May 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Czech RTG Q2 2016,"May 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Denmark RTG Q2 2016,"May 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France Q1 2016,"Mar 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France Q1 2016 RTG,"Mar 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - France RTG Q2 2016,"May 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global & Local RTG Jun-Dec 2016,"Aug 31, 2016",Closed Won
Xaxis,a003100000eRTdUAAW,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfsIAAT,DKK,SAXO BANK - Global Change Campaign 2016 - Upper Funnel,"Sep 30, 2016",Closed Won
