Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,Name,CloseDate,StageName,External_Id__c,Id
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - High Summer, juni 2016, online OrderID:26154",2016-06-30,Closed Won,OrderID:26154,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - Marts/April 2016, Online OrderID:15007",2016-04-30,Closed Won,OrderID:15007,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - Pandora Rose Collection, okt. 2016, online OrderID:32256",2016-10-31,Closed Won,OrderID:32256,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:20130,2017-03-31,Closed Won,OrderID:20130,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:31293,2016-08-31,Closed Won,OrderID:31293,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:31294,2016-08-31,Closed Won,OrderID:31294,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:18206,2016-07-10,Closed Won,OrderID:18206,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26488,2016-06-30,Closed Won,OrderID:26488,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26489,2016-06-30,Closed Won,OrderID:26489,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26490,2016-07-31,Closed Won,OrderID:26490,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26491,2016-07-31,Closed Won,OrderID:26491,
