Business_Unit__c,Advertiser__c,Agency__c,RecordTypeId,AccountId,Name,CloseDate,StageName,External_Id__c,Id
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:11670,2016-04-03,Closed Won,OrderID:11670,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:11671,2016-04-03,Closed Won,OrderID:11671,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:13953,2016-02-29,Closed Won,OrderID:13953,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:13954,2016-02-29,Closed Won,OrderID:13954,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21372,2016-03-31,Closed Won,OrderID:21372,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21373,2016-03-31,Closed Won,OrderID:21373,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21374,2016-03-31,Closed Won,OrderID:21374,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21375,2016-03-31,Closed Won,OrderID:21375,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21376,2016-04-30,Closed Won,OrderID:21376,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - Ford Fiesta & Focus - Privatleasing w5-13 2016 OrderID:21377,2016-04-30,Closed Won,OrderID:21377,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford Kuga uge 37-38 OrderID:19579,2016-09-25,Closed Won,OrderID:19579,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford Kuga uge 53-1 OrderID:11145,2016-01-10,Closed Won,OrderID:11145,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford Kuga uge 53-1 OrderID:13342,2016-01-31,Closed Won,OrderID:13342,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford Kuga uge 53-1 OrderID:13343,2016-01-31,Closed Won,OrderID:13343,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford S-Max uge 15-17 OrderID:17691,2016-04-30,Closed Won,OrderID:17691,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford S-Max uge 15-17 OrderID:25649,2016-05-31,Closed Won,OrderID:25649,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford S-Max uge 22-26 OrderID:17662,2016-06-30,Closed Won,OrderID:17662,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford S-Max uge 22-26 OrderID:25608,2016-06-30,Closed Won,OrderID:25608,
Xaxis,a00i0000003vFmHAAU,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfkjAAD,Ford Motor Company A/S - TV Ford S-Max uge 22-26 OrderID:31190,2016-06-30,Closed Won,OrderID:31190,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - High Summer, juni 2016, online OrderID:17990",2016-06-30,Closed Won,OrderID:17990,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - High Summer, juni 2016, online OrderID:26153",2016-06-30,Closed Won,OrderID:26153,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - High Summer, juni 2016, online OrderID:26154",2016-06-30,Closed Won,OrderID:26154,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - Marts/April 2016, Online OrderID:15007",2016-04-30,Closed Won,OrderID:15007,
Xaxis,a00i000000btFLoAAM,a00i000000GIJkNAAX,012i0000001EAyNAAW,0016300000FXfrfAAD,"PANDORA Int. ApS PDK - Pandora Rose Collection, okt. 2016, online OrderID:32256",2016-10-31,Closed Won,OrderID:32256,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:20130,2017-03-31,Closed Won,OrderID:20130,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:31293,2016-08-31,Closed Won,OrderID:31293,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - Always On - 2016-2017 OrderID:31294,2016-08-31,Closed Won,OrderID:31294,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:18206,2016-07-10,Closed Won,OrderID:18206,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26488,2016-06-30,Closed Won,OrderID:26488,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26489,2016-06-30,Closed Won,OrderID:26489,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26490,2016-07-31,Closed Won,OrderID:26490,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX-5 - Juni/Juli - 2016 OrderID:26491,2016-07-31,Closed Won,OrderID:26491,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX3 - Maj-Juni 2016 OrderID:16959,2016-06-01,Closed Won,OrderID:16959,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX3 - Maj-Juni 2016 OrderID:24916,2016-05-31,Closed Won,OrderID:24916,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX3 - Maj-Juni 2016 OrderID:24917,2016-05-31,Closed Won,OrderID:24917,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX3 - Uge 41-44 - 2016 OrderID:33122,1900-01-01,Closed Won,OrderID:33122,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - CX3 - Uge 41-44 - 2016 OrderID:33123,1900-01-01,Closed Won,OrderID:33123,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - M2 - Sep/Okt - 2016 OrderID:29072,2016-10-02,Closed Won,OrderID:29072,
Xaxis,a00i000000GIIrqAAH,a00i000000GIJl9AAH,012i0000001EAyNAAW,001i000000yyEu0AAE,Mazda Motor Danmark - Mazda - M2 - Sep/Okt - 2016 OrderID:29073,2016-10-02,Closed Won,OrderID:29073,
Xaxis,a00i000000YUQLhAAP,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfwmAAD,UBISOFT NORDIC A/S - Ubisoft - Watch_Dogs 2 - Pre order - June 2016 OrderID:17938,2016-06-19,Closed Won,OrderID:17938,
Xaxis,a00i000000YUQLhAAP,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfwmAAD,UBISOFT NORDIC A/S - Ubisoft - Watch_Dogs 2 - Pre order - June 2016 OrderID:26014,2016-06-30,Closed Won,OrderID:26014,
Xaxis,a00i000000YUQLhAAP,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfwmAAD,UBISOFT NORDIC A/S - Ubisoft - Watch_Dogs 2 - Pre order - June 2016 OrderID:26015,2016-06-30,Closed Won,OrderID:26015,
Xaxis,a00i000000YUQLhAAP,a00i000000GIJl9AAH,012i0000001EAyNAAW,0016300000FXfwmAAD,UBISOFT NORDIC A/S - Ubisoft - Watch_Dogs 2 - Pre order - June 2016 OrderID:26055,2016-06-30,Closed Won,OrderID:26055,
