Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004SwvUAAS,NordicOrderID:12176,Xaxis TV,"Dec 26, 2015","Dec 29, 2015",0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwvUAAS,NordicOrderID:12177,Xaxis TV,"Jan 1, 2016","Jan 2, 2016",0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwtgAAC,NordicOrderID:30388,Xaxis Display,"Aug 1, 2016","Aug 31, 2016",0,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Behavioral, look-a-like, retargeting, geosegmenteret Nørrebro",Display
00663000004Sx7ZAAS,NordicOrderID:14379,Xaxis Display,"Feb 1, 2016","Feb 29, 2016",1,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis dekstop/tablet programbaserede strategier,Display
00663000004SwY2AAK,NordicOrderID:16018,Xaxis Display,"Mar 1, 2016","Mar 31, 2016",1,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,FR - Prospecting,Display
00663000004Sx0yAAC,NordicOrderID:12806,Xaxis Display,"Jan 1, 2016","Jan 31, 2016",2,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Display
00663000004Sx0xAAC,NordicOrderID:14329,Xaxis Display,"Jan 1, 2016","Jan 31, 2016",2,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Display
00663000004Sx0wAAC,NordicOrderID:22920,Xaxis Display,"Jan 1, 2016","Jan 31, 2016",2,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,windows,Display
00663000004SwY2AAK,NordicOrderID:16643,Xaxis Mobile,"Mar 1, 2016","Mar 31, 2016",3,DoubleClick Bid Manager,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,FR - Prospecting,Mobile
00663000004Sx1QAAS,NordicOrderID:12615,Xaxis Display,"Dec 1, 2015","Dec 31, 2015",4,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,RT og BT Kitchen,Display
00663000004Sx1fAAC,NordicOrderID:32053,Xaxis Display,"Dec 1, 2015","Dec 31, 2015",4,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Extra inmarket - Programmatic - Okt-Nov 2016,Display
00663000004Swy7AAC,NordicOrderID:20936,Xaxis Display,"Jun 1, 2016","Jun 30, 2016",4,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Look-a-like, behavioral, context, domain - DK",Display
00663000004SwtHAAS,NordicOrderID:26207,Xaxis Display,"Jun 1, 2016","Jun 30, 2016",4,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - Retargeting (monthly freq 40) - Booking line: Conzoom + Visited point at n,Display
00663000004SxCxAAK,NordicOrderID:21345,Xaxis Mobile,"May 1, 2016","May 31, 2016",6,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Moment - RTB - 2016,Mobile
00663000004SwvGAAS,NordicOrderID:24595,Xaxis Mobile,"May 1, 2016","May 31, 2016",6,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Mobile
00663000004SxAQAA0,NordicOrderID:23807,Xaxis Display,"Jun 1, 2016","Jun 30, 2016",6,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Digital Display Women 15-35 Mobile Banner,Display
00663000004SwtHAAS,NordicOrderID:26216,Xaxis Display,"Jun 1, 2016","Jun 30, 2016",6,AppNexus (DKK) - Display (Digital),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Xaxis DK - Programmatic - Retargeting (monthly freq 40) - Booking line: Conzoom + Visited point at n,Display
00663000004SwvoAAC,NordicOrderID:12656,Xaxis Mobile,"Dec 1, 2015","Dec 31, 2015",7,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Targeting (datasamarbejde, interesser og look-a-likes)",Mobile
00663000004Sx0NAAS,NordicOrderID:12663,Xaxis Mobile,"Dec 1, 2015","Dec 31, 2015",7,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting,Mobile
00663000004SwrtAAC,NordicOrderID:16481,Xaxis Mobile,"Dec 1, 2015","Dec 31, 2015",7,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Netherlands Lead RTG Q2 2016,Mobile
00663000004SwrjAAC,NordicOrderID:16526,Xaxis Mobile,"Dec 1, 2015","Dec 31, 2015",7,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Hong Kong Lead RTG Q2 2016,Mobile
00663000004SwsOAAS,NordicOrderID:24152,Xaxis Mobile,"Dec 1, 2015","Dec 31, 2015",7,3. parts fee / Appnexus  (USD) - App/inAPP (Mobil),Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,NL lead rtg dec 2015,Mobile
