Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
00663000004Sww4AAC,NordicOrderID:16543,Xaxis TV,2015-04-01 12:00:00,2015-06-30 12:00:00,-163984,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsMAAS,NordicOrderID:12505,Xaxis TV,2015-11-15 12:00:00,2015-12-15 12:00:00,-75243,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxAMAA0,NordicOrderID:19351,Xaxis TV,2015-05-07 12:00:00,2015-05-24 12:00:00,-39586,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx0rAAC,NordicOrderID:10993,Xaxis TV,2015-06-22 12:00:00,2015-12-31 12:00:00,-29481,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsUAAS,NordicOrderID:11684,Xaxis TV,2015-11-02 12:00:00,2015-12-13 12:00:00,-22300,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx6RAAS,NordicOrderID:16912,Xaxis TV,2015-11-01 12:00:00,2015-11-30 12:00:00,-19790,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx6RAAS,NordicOrderID:16913,Xaxis TV,2015-12-14 12:00:00,2015-12-31 12:00:00,-18349,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwxrAAC,NordicOrderID:14479,Xaxis Display,2015-11-02 12:00:00,2015-12-13 12:00:00,-10825,Xaxis DK - Audience,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Display
00663000004SwtaAAC,NordicOrderID:11607,Xaxis TV,2015-10-14 12:00:00,2015-12-31 12:00:00,-10430,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsUAAS,NordicOrderID:11683,Xaxis TV,2015-11-02 12:00:00,2015-12-13 12:00:00,-10268,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxAYAA0,NordicOrderID:19514,Xaxis TV,2015-11-16 12:00:00,2015-11-29 12:00:00,-7578,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx6RAAS,NordicOrderID:16914,Xaxis TV,2016-01-01 12:00:00,2016-01-31 12:00:00,-6925,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsUAAS,NordicOrderID:11686,Xaxis TV,2015-11-02 12:00:00,2015-12-13 12:00:00,-6424,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sww4AAC,NordicOrderID:16544,Xaxis TV,2015-12-03 12:00:00,2015-12-31 12:00:00,-6354,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxA5AAK,NordicOrderID:19350,Xaxis TV,2015-05-25 12:00:00,2015-05-31 12:00:00,-4698,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsUAAS,NordicOrderID:11685,Xaxis TV,2015-11-02 12:00:00,2015-12-13 12:00:00,-2684,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwsUAAS,NordicOrderID:11682,Xaxis TV,2015-11-02 12:00:00,2015-12-13 12:00:00,-2574,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwuYAAS,NordicOrderID:11613,Xaxis TV,2015-06-15 12:00:00,2015-10-30 12:00:00,-2548,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx60AAC,NordicOrderID:11587,Xaxis Display,2015-11-23 12:00:00,2015-12-23 12:00:00,-1600,Xaxis DK - Audience,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Display
00663000004SwxUAAS,NordicOrderID:18106,Xaxis TV,2015-08-24 12:00:00,2015-10-11 12:00:00,-1000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwxUAAS,NordicOrderID:18105,Xaxis TV,2015-08-24 12:00:00,2015-10-11 12:00:00,-998,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwxUAAS,NordicOrderID:18104,Xaxis TV,2015-08-24 12:00:00,2015-10-11 12:00:00,-666,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx60AAC,NordicOrderID:11586,Xaxis Display,2015-11-23 12:00:00,2015-12-23 12:00:00,-211,Xaxis DK - Audience,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Display
00663000004SwxUAAS,NordicOrderID:18103,Xaxis TV,2015-08-24 12:00:00,2015-10-11 12:00:00,-170,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxDrAAK,NordicOrderID:19377,Xaxis TV,2015-11-16 12:00:00,2015-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Display - partner regarteting,Video
00663000004SwuXAAS,NordicOrderID:11640,Xaxis TV,2015-11-17 12:00:00,2015-12-18 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxCVAA0,NordicOrderID:11610,Xaxis TV,2015-12-29 12:00:00,2015-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxD2AAK,NordicOrderID:11609,Xaxis TV,2016-01-01 12:00:00,2016-01-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxCVAA0,NordicOrderID:11612,Xaxis TV,2016-01-01 12:00:00,2016-04-03 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwtbAAC,NordicOrderID:11205,Xaxis Mobile,2016-01-15 12:00:00,2016-01-30 12:00:00,0,Xaxis DK - Mobil,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Private: Age, Travelling, Shopping, LinkedIn etc. Behaviroral targeting + Contextual targeting",Mobile
00663000004SwtbAAC,NordicOrderID:10541,Xaxis TV,2016-01-15 12:00:00,2016-01-30 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,"Private: Age, Travelling, Shopping, LinkedIn etc. Behaviroral targeting + Contextual targeting",Video
00663000004Sx5JAAS,NordicOrderID:14744,Xaxis TV,2016-01-15 12:00:00,2016-02-28 12:00:00,0,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SwwJAAS,NordicOrderID:15016,Xaxis TV,2016-01-15 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004SxC2AAK,NordicOrderID:10688,Xaxis TV,2016-01-18 12:00:00,2016-01-24 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,ConZoom Digital,Video
00663000004SwweAAC,NordicOrderID:11209,Xaxis TV,2016-02-01 12:00:00,2016-02-29 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Kokken retargeting,Video
00663000004Sv68AAC,NordicOrderID:12560,Xaxis TV,2016-02-01 12:00:00,2016-02-29 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,No spend,Video
00663000004SwxQAAS,NordicOrderID:11936,Xaxis TV,2016-02-01 12:00:00,2016-03-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting,Video
00663000004SwzKAAS,NordicOrderID:11168,Xaxis TV,2016-02-04 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004SwzKAAS,NordicOrderID:11169,Xaxis TV,2016-02-04 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004SwzKAAS,NordicOrderID:11170,Xaxis TV,2016-02-04 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004SwzKAAS,NordicOrderID:11171,Xaxis TV,2016-02-04 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004SwzKAAS,NordicOrderID:11172,Xaxis TV,2016-02-04 12:00:00,2016-12-31 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod kernemalgruppe,Video
00663000004SxDbAAK,NordicOrderID:11258,Xaxis TV,2016-02-11 12:00:00,2016-05-08 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Digital Conzoom: F2 + (F1 + E4). Ca. 36.525 DKK,Video
00663000004SwzLAAS,NordicOrderID:11739,Xaxis TV,2016-02-12 12:00:00,2016-03-15 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod vores kernemalgruppe,Video
00663000004SwzLAAS,NordicOrderID:11740,Xaxis TV,2016-02-12 12:00:00,2016-03-15 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod vores kernemalgruppe,Video
00663000004SwzLAAS,NordicOrderID:11741,Xaxis TV,2016-02-12 12:00:00,2016-03-15 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Forskellige strategier mod vores kernemalgruppe,Video
00663000004Sx99AAC,NordicOrderID:14496,Xaxis TV,2016-02-22 12:00:00,2016-09-22 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach - IO targeting - Koncert launch + koncert perioden (Onsd kl12 - Fre kl. 20,Video
00663000004Swv7AAC,NordicOrderID:14553,Xaxis TV,2016-02-26 12:00:00,2016-03-26 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
00663000004Sx0wAAC,NordicOrderID:16419,Xaxis TV,2016-03-18 12:00:00,2016-03-28 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,windows,Video
00663000004Sx99AAC,NordicOrderID:14498,Xaxis TV,2016-03-28 12:00:00,2016-09-22 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach - IO targeting - Koncert launch + koncert perioden (Onsd kl12 - Fre kl. 20,Video
00663000004Sx99AAC,NordicOrderID:14499,Xaxis TV,2016-03-28 12:00:00,2016-09-22 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach - IO targeting - Koncert launch + koncert perioden (Onsd kl12 - Fre kl. 20,Video
00663000004Sx99AAC,NordicOrderID:14500,Xaxis TV,2016-03-28 12:00:00,2016-09-22 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach - IO targeting - Koncert launch + koncert perioden (Onsd kl12 - Fre kl. 20,Video
00663000004Sx99AAC,NordicOrderID:14501,Xaxis TV,2016-03-28 12:00:00,2016-09-22 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Reach - IO targeting - Koncert launch + koncert perioden (Onsd kl12 - Fre kl. 20,Video
00663000004Sx5VAAS,NordicOrderID:16420,Xaxis TV,2016-04-01 12:00:00,2016-04-30 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting + targeting april,Video
00663000004Sx5VAAS,NordicOrderID:16421,Xaxis TV,2016-04-01 12:00:00,2016-04-30 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting + targeting april,Video
00663000004Sx5VAAS,NordicOrderID:16422,Xaxis TV,2016-04-01 12:00:00,2016-04-30 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting + targeting april,Video
00663000004Sx5VAAS,NordicOrderID:16423,Xaxis TV,2016-04-01 12:00:00,2016-04-30 12:00:00,0,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,Retargeting + targeting april,Video
