Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Filter,Id
0063100000fGm5SAAS,TurkeyOpp-1151,Banner,2016-08-01,2016-08-30,3721.6,GSK20168GSK Sensodyne Check up AgustosReklamStoreMC,Net Cost (Calc Margin),MediaTrader,ReklamStore,9000,1800,Externally Managed,Triggers,Saglik,0.4,CPC,0.5163,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,3600,012i0000001EB0yAAG,Turkey_LR,a013100000fLpU4AAK
0063100000fGlyFAAS,TurkeyOpp-536,Banner,2016-04-01,2016-04-30,2344.4,Elca Kozmetik20164Clinique NisanPopmarkerMS,Net Cost (Calc Margin),MediaTrader,Popmarker,5000,1000,Externally Managed,Triggers,Kadin,0.4,CPC,0.5735,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLpU6AAK
0063100000fGlymAAC,TurkeyOpp-1975,Banner,2016-04-11,2016-04-30,3047.6,Vodafone20164Vodafone Red BeymenAdinteractionMS,Net Cost (Calc Margin),MediaTrader,Adinteraction,6000,1200,Externally Managed,Triggers,Kadin,0.4,CPC,0.6062,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2400,012i0000001EB0yAAG,Turkey_LR,a013100000fLpU7AAK
0063100000fGm6UAAS,TurkeyOpp-1349,Banner,2016-09-07,2016-09-30,2093.6,Vodafone20169Vodafone Red Roaming Always On EylulAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,6000,1046.8,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,2400,012i0000001EB0yAAG,Turkey_LR,a013100000fLpU9AAK
0063100000fGm3uAAC,TurkeyOpp-1757,,2016-06-14,2016-06-30,1124.4,Akbank20166Akbank Neo Kart HaziranReklamStoreMC,Net Cost (Calc Margin),MediaTrader,ReklamStore,6000,562,Externally Managed,Triggers,,0.4,CPM,0.5002,From spreadsheet: Turkey LR - Campaign Data,Overlay,Digital,2400,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUAAA0
0063100000fGm2tAAC,TurkeyOpp-343,Banner,2016-04-18,2016-04-30,239.4,Michelin20164Michelin THYLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,27333,119.4,Externally Managed,Triggers,Kadin,0.6,CPC,0.5013,From spreadsheet: Turkey LR - Campaign Data,Text-Image,Digital,16400,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUCAA0
0063100000fGm6tAAC,TurkeyOpp-71,Eylul Reporting,2016-10-01,2016-10-30,0,Temsa201610Temsa EkimBannerConnectMC,Net Cost (Calc Margin),MediaTrader,BannerConnect,0,51.99,Externally Managed,Triggers,Finans,0,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Reporting,Digital,0,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUFAA0
0063100000fGm3JAAS,TurkeyOpp-1373,Banner,2016-06-10,2016-06-13,1310.85,Bimeks20166Bimeks KDV Bi Para Haziran 10-13AdmaticMEC,Net Cost (Calc Margin),MediaTrader,Admatic,4000,800,Externally Managed,Triggers,Teknoloji,0.35,CPC,0.3897,From spreadsheet: Turkey LR - Campaign Data,Interstitial,Digital,1400,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUGAA0
0063100000fGlx2AAC,TurkeyOpp-1811,Banner,2016-02-22,2016-02-29,1453.6,Vodafone20162Vodafone Falcon Loyalty VestelAreklamMS,Net Cost (Calc Margin),MediaTrader,Areklam,3000,600,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.5872,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUHAA0
0063100000fGm2UAAS,TurkeyOpp-1026,Banner,2016-05-06,2016-05-15,592.8,Vodafone20165Vodafone KibeleMedyanetMS,Net Cost (Calc Margin),MediaTrader,Medyanet,3000,296.4,Externally Managed,Triggers,Kadin,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1200,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUIAA0
0063100000fGlxkAAC,TurkeyOpp-818,Banner,2016-03-17,2016-03-31,1912.4,Vodafone20163Vodafone Project Atina Buyback DisplayAdinteractionMS,Net Cost (Calc Margin),MediaTrader,Adinteraction,5000,1000,Externally Managed,Triggers,Cihaz,0.4,CPC,0.4771,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUJAA0
0063100000fGlwAAAS,TurkeyOpp-1680,Banner,2016-01-11,2016-01-31,2301.2,Akbank20161BKEAdinteractionMC,Net Cost (Calc Margin),MediaTrader,Adinteraction,5000,1000,Externally Managed,Triggers,Finans,0.4,CPC,0.5654,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG,Turkey_LR,a013100000fLpUKAA0
0063100000fGlx0AAC,TurkeyOpp-1710,Banner,2016-02-11,2016-02-29,600,Vodafone20162Vodafone Dil Testi ErkekMicrosoftMS,Net Cost (Calc Margin),MediaTrader,Microsoft,2609,457.93,Externally Managed,Triggers,Erkek,0.4,CPC,0.2368,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1043.48,012i0000001EB0yAAG,Turkey_LR,a013100000fLpULAA0
