Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fGttxAAC,TurkeyLR:96,Banner,2016-02-01,2016-02-29,713.6,Lufthansa20162Lufthansa BaselineDeskfiveMS,Net Cost (Calc Margin),MediaTrader,Deskfive,5000,356.8,Externally Managed,Triggers,Seyahat,0.4,CPC,0.5,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:1748,Banner,2016-02-01,2016-02-29,354.8,Lufthansa20162Lufthansa BaselineMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,5000,266.1,Externally Managed,Triggers,Seyahat,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:1912,Banner,2016-02-01,2016-02-29,3641.6,Lufthansa20162Lufthansa BaselineReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,4000,800,Externally Managed,Triggers,Seyahat,0.4,CPC,0.7803,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1600,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:1603,Banner,2016-05-06,2016-05-31,411.6,Lufthansa20165Lufthansa BaselineMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,3333,308.7,Externally Managed,Triggers,Kadin,0.4,CPC,0.25,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1333.33,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:393,Banner,2016-05-06,2016-05-31,3815.6,Lufthansa20165Lufthansa BaselineReklamstoreMS,Net Cost (Calc Margin),MediaTrader,Reklamstore,4667,1400,Externally Managed,Triggers,Kadin,0.4,CPC,0.6331,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1866.67,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:827,Banner,2016-05-06,2016-05-31,1858.2,Lufthansa20165Lufthansa BaselineAdinteractionMS,Net Cost (Calc Margin),MediaTrader,Adinteraction,10000,2000,Externally Managed,Triggers,Kadin,0.4,CPC,-0.0763,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,4000,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:865,Banner,2016-02-01,2016-02-29,2815.6,Lufthansa20162Lufthansa BaselineGoClickMS,Net Cost (Calc Margin),MediaTrader,GoClick,4545,847.22,Externally Managed,Triggers,Seyahat,0.4,CPC,0.6991,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,1818.18,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:70,Banner,2016-02-01,2016-02-29,1550.4,Lufthansa20162Lufthansa BaselineAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,5000,1211,Externally Managed,Triggers,RTB,0.4,CPC,0.2189,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2000,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:1821,Banner,2016-05-06,2016-05-31,2892.6,Lufthansa20165Lufthansa BaselineAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,10000,87.93,Externally Managed,Triggers,Kadin,0.4,CPC,0.9696,From spreadsheet: Turkey LR - Campaign Data,RTB,Digital,4000,012i0000001EB0yAAG
0063100000fGttxAAC,TurkeyLR:836,Banner,2016-02-01,2016-02-29,0,Lufthansa20162Lufthansa BaselineAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,6000,0,Externally Managed,Triggers,Seyahat,0.4,CPC,0,From spreadsheet: Turkey LR - Campaign Data,Ad bundles,Digital,2400,012i0000001EB0yAAG
