Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000fk5SIAAY,,Banner,2016-12-01,2016-12-20,2000,Vodafone201612Vodafone 52 Hafta DYO Insaat AralikAffoceanMS,Net Cost (Calc Margin),MediaTrader,Affocean,5000,8,Externally Managed,Triggers,Teknoloji,0.5,CPC,0.996,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2500,012i0000001EB0yAAG
0063100000fk5SxAAI,,Banner,2016-12-01,2016-12-31,1000,Vodafone201612Vodafone - MNP New Year - VF Hedefli AralikAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,300000,0,Externally Managed,Triggers,Teknoloji,0.4,CPM,1,From spreadsheet: Turkey LR | Campaign Data,RTB,Digital,120,012i0000001EB0yAAG
0063100000fk5TTAAY,,Banner,2016-12-16,2016-12-31,5000,Renault201612RENAULT Dacia Sandero NativeLigatusMEC,Net Cost (Calc Margin),MediaTrader,Ligatus,5714,2000,Externally Managed,Triggers,Otomotiv,0.5,CPC,0.6,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2857.14,012i0000001EB0yAAG
0063100000fk5TSAAY,,Banner,2016-12-16,2016-12-31,3076.92,Renault201612RENAULT Dacia Duster Standart BannerMaxadMEC,Net Cost (Calc Margin),MediaTrader,Maxad,17500,3500,Externally Managed,Triggers,Otomotiv,0.4,CPC,-0.1375,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,7000,012i0000001EB0yAAG
0063100000fk5SNAAY,,Banner,2016-12-01,2016-12-21,7535.6,Nike201612Nike Basketball - Come out of Nowhere AralikMobilikeMS,Net Cost (Calc Margin),MediaTrader,Mobilike,571429,0,Externally Managed,Triggers,Alisveris,0.6,CPM,1,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,342.86,012i0000001EB0yAAG
0063100000fk5TIAAY,,Banner,2016-12-15,2016-12-31,2000,Vodafone201612Vodafone Mimsan AralikGoclickMS,Net Cost (Calc Margin),MediaTrader,Goclick,321,70.62,Externally Managed,Triggers,Teknoloji,0.5,CPC,0.9647,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,160.5,012i0000001EB0yAAG
0063100000fk5SXAAY,,Banner,2016-12-01,2016-12-30,2500,MAC201612MAC AralikReklamactionMS,Net Cost (Calc Margin),MediaTrader,Reklamaction,0,0,Externally Managed,Triggers,Kadin,0.4,CPC,1,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,0,012i0000001EB0yAAG
0063100000fk5TWAAY,,Banner,2016-12-16,2016-12-31,11538.46,Renault201612RENAULT Satis Aralik Standart BannerMedyanet InterstitialMEC,Net Cost (Calc Margin),MediaTrader,Medyanet Interstitial,1500000,275.91,Externally Managed,Triggers,Otomotiv,0.4,CPM,0.9761,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,600,012i0000001EB0yAAG
0063100000fk5S6AAI,,Banner,2016-11-24,2016-11-30,3170.8,Renault201611Renault Dacia Range Standart KasimDeskfiveMEC,Net Cost (Calc Margin),MediaTrader,Deskfive,7500,1500,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.5269,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,3000,012i0000001EB0yAAG
0063100000fk5THAAY,,Banner,2016-12-20,2016-12-31,2500,Vodafone201612Vodafone Lenovo Mobil AralikAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,8000,47.85,Externally Managed,Triggers,Teknoloji,0.35,CPC,0.9809,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2800,012i0000001EB0yAAG
0063100000fk5SSAAY,,Banner,2016-12-01,2016-12-27,3333,Vodafone201612Vodafone 52 Hafta Simdi Sira Sizde Std AralikMynetMS,Net Cost (Calc Margin),MediaTrader,Mynet,5000,1353,Externally Managed,Triggers,Teknoloji,0.5,CPC,0.5941,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,2500,012i0000001EB0yAAG
0063100000fk5S3AAI,,Banner,2016-11-18,2016-11-30,5213.4,Nike201611Nike Basketball - Come out of Nowhere KasimAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,7500,1500,Externally Managed,Triggers,Spor,0.6,CPC,0.7123,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,4500,012i0000001EB0yAAG
0063100000fGm8QAAS,,Banner,2016-11-11,2016-11-30,8352.8,Unico201611Unico KasimMedyanetMEC,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,240.42,Externally Managed,Triggers,Finans,0.6,CPM,0.9712,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,600,012i0000001EB0yAAG
0063100000fk5SUAAY,,Banner,2016-12-01,2016-12-27,1500,Vodafone201612Vodafone Olympia HuaweiGoclickMS,Net Cost (Calc Margin),MediaTrader,Goclick,4545,95.04,Externally Managed,Triggers,Teknoloji,0.4,CPC,0.9366,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,1818.18,012i0000001EB0yAAG
0063100000fk5TSAAY,,Banner,2016-12-16,2016-12-31,3076.92,Renault201612RENAULT Dacia Duster Standart BannerTurk TelekomMEC,Net Cost (Calc Margin),MediaTrader,Turk Telekom,10500,2062,Externally Managed,Triggers,Otomotiv,0.4,CPC,0.3298,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,4200,012i0000001EB0yAAG
0063100000fk5S3AAI,,Banner,2016-11-18,2016-11-30,139.2,Nike201611Nike Basketball - Come out of Nowhere KasimNtvMS,Net Cost (Calc Margin),MediaTrader,Ntv,400000,46.22,Externally Managed,Triggers,Spor,0.6,CPM,0.6679,From spreadsheet: Turkey LR | Campaign Data,Ad bundles,Digital,240,012i0000001EB0yAAG
0063100000fk5TVAAY,,Banner,2016-12-16,2016-12-31,21378.9,Renault201612RENAULT Satis Aralik NativeEngageya 2MEC,Net Cost (Calc Margin),MediaTrader,Engageya 2,6667,2000,Externally Managed,Triggers,Otomotiv,0.5,CPC,0.9064,From spreadsheet: Turkey LR | Campaign Data,Text-Image,Digital,3333.33,012i0000001EB0yAAG
0063100000fk5SNAAY,,Banner,2016-12-01,2016-12-21,7535.56,Nike201612Nike Basketball - Come out of Nowhere AralikAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,0,0,Externally Managed,Triggers,Alisveris,0.6,CPC,1,From spreadsheet: Turkey LR | Campaign Data,RTB,Digital,0,012i0000001EB0yAAG
0063100000fk5TAAAY,,Banner,2016-12-13,2016-12-31,5000,Vodafone201612Vodafone Breaking Bad Admatic AralikAdmaticMS,Net Cost (Calc Margin),MediaTrader,Admatic,16000,410.4,Externally Managed,Triggers,Teknoloji,0.3,CPC,0.9179,From spreadsheet: Turkey LR | Campaign Data,Interstitial,Digital,4800,012i0000001EB0yAAG
0063100000fGm8kAAC,,Banner,2016-11-01,2016-11-30,292.4,Clinique201611Clinique KasimAppnexusMS,Net Cost (Calc Margin),MediaTrader,Appnexus,2000000,305.83,Externally Managed,Triggers,Kadin,0.4,CPM,-0.0459,From spreadsheet: Turkey LR | Campaign Data,RTB,Digital,800,012i0000001EB0yAAG
