Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
0063100000ejrBOAAY,TurkeyOpp-695,Xaxis Display Plus,2016-01-22,2016-01-31,500,Huawei0116_Mate_S_interest_Sem_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Sem Digital,250000,813.71,Externally Managed,Triggers,Selected Sites,2,cpm,0.9386,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBOAAY,TurkeyOpp-693,Xaxis Display Plus,2016-01-22,2016-01-31,2500,Huawei0116_Mate_S_interest_Medyanet_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1250000,1559,Externally Managed,Triggers,Selected Sites,2,cpm,0.9198,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBOAAY,TurkeyOpp-694,Xaxis Display Plus,2016-01-22,2016-01-31,500,Huawei0116_Mate_S_interest_Reklamz_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamz,250000,121.72,Externally Managed,Triggers,Selected Sites,2,cpm,0.95,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBPAAY,TurkeyOpp-586,Xaxis Rich Media,2016-01-07,2016-01-31,1280,LAV0116_Ocak_Interstitial_Digitalm_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,320000,1285,Externally Managed,Triggers,Interstitial,4,cpm,0.3774,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBPAAY,TurkeyOpp-585,Xaxis Rich Media,2016-01-07,2016-01-31,1600,LAV0116_Ocak_Interstitial_Acunn_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,400000,1600,Externally Managed,Triggers,Interstitial,4,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBQAAY,TurkeyOpp-633,Xaxis Tv,2016-01-14,2016-01-31,1200,Lassa0116_El_Classico_Preroll_Midyo_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Midyo,20000,1200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.9167,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrBQAAY,TurkeyOpp-631,Xaxis Tv,2016-01-14,2016-01-31,2400,Lassa0116_El_Classico_Preroll_Bond_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,40000,1200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.6667,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrBQAAY,TurkeyOpp-632,Xaxis Tv,2016-01-14,2016-01-31,1200,Lassa0116_El_Classico_Preroll_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,20000,1200,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,0.9,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrBQAAY,TurkeyOpp-630,Xaxis Tv,2016-01-14,2016-01-31,2400,Lassa0116_El_Classico_Preroll_Acunn_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,40000,2400,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.06,cpv,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrBRAAY,TurkeyOpp-722,Xaxis Lookalike,2016-02-01,2016-02-01,3770,Vodafone_Corp_Cozumler_LAL_Medyanet_OcakKalan_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,2900000,0,Externally Managed,Triggers,Selected Sites,1.3,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBRAAY,TurkeyOpp-723,Xaxis Lookalike,2016-02-01,2016-02-01,2600,Vodafone_Corp_Cozumler_LAL_Adinteraction_OcakKalan_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adinteraction,2000000,0,Externally Managed,Triggers,Selected Sites,1.3,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBSAAY,TurkeyOpp-724,Xaxis Display Plus,2016-02-01,2016-02-01,1600,Vodafone_Yazar_Kasa_interest_Adinteraction_OcakKalan_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Adinteraction,2000000,0,Externally Managed,Triggers,Selected Sites,0.8,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBTAAY,TurkeyOpp-748,Xaxis Rich Media,2016-02-03,2016-02-04,1125,Bimeks0216_Binlerce_Urun_%5_Bipara_Medyanet_Interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,250000,1125,Externally Managed,Triggers,Interstitial,4.5,cpm,0.8889,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBTAAY,TurkeyOpp-750,Xaxis Rich Media,2016-02-03,2016-02-04,1125,Bimeks0216_Binlerce_Urun_%5_Bipara_Digitalm_Interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,250000,1125,Externally Managed,Triggers,Interstitial,4.5,cpm,0.4444,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBTAAY,TurkeyOpp-751,Xaxis Rich Media,2016-02-03,2016-02-04,2250,Bimeks0216_Binlerce_Urun_%5_Bipara_Acunn_Interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,500000,2250,Externally Managed,Triggers,Interstitial,4.5,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBTAAY,TurkeyOpp-749,Xaxis Rich Media,2016-02-03,2016-02-04,675,Bimeks0216_Binlerce_Urun_%5_Bipara_Bond_Interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,150000,500,Externally Managed,Triggers,Interstitial,4.5,cpm,0.325,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBUAAY,TurkeyOpp-940,Xaxis Display Plus,2016-02-01,2016-02-05,0,Huawei0216_MateS_interest_Popmarker_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Popmarker,500000,0,Externally Managed,Triggers,Selected Sites,0,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBVAAY,TurkeyOpp-767,Xaxis Rich Media,2016-02-01,2016-02-07,1275,Ikea0216_Somestr_Interstitial_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,300000,1050,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8582,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBVAAY,TurkeyOpp-766,Xaxis Rich Media,2016-02-01,2016-02-07,1062.5,Ikea0216_Somestr_Interstitial_Digitalm_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,250000,1065.14,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4132,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBWAAY,TurkeyOpp-753,Xaxis Rich Media,2016-02-04,2016-02-07,2250,Bimeks0216_Binlerce_Urun_Kdv_Kadar_Bipara_Acunn_interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,500000,2250,Externally Managed,Triggers,Interstitial,4.5,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBWAAY,TurkeyOpp-752,Xaxis Rich Media,2016-02-04,2016-02-07,1125,Bimeks0216_Binlerce_Urun_Kdv_Kadar_Bipara_Medyanet_interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,250000,1125,Externally Managed,Triggers,Interstitial,4.5,cpm,0.8889,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBWAAY,TurkeyOpp-754,Xaxis Rich Media,2016-02-04,2016-02-07,1125,Bimeks0216_Binlerce_Urun_Kdv_Kadar_Bipara_Digitalm_interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,250000,1125,Externally Managed,Triggers,Interstitial,4.5,cpm,0.4444,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBXAAY,TurkeyOpp-834,Xaxis Rich Media,2016-02-05,2016-02-08,1062.5,Teknosa0216_Turuncu_Indirim_faz1_Bond_interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,250000,1062.5,Externally Managed,Triggers,Selected Sites,4.25,cpm,0.4706,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBXAAY,TurkeyOpp-835,Xaxis Rich Media,2016-02-05,2016-02-08,1062.5,Teknosa0216_Turuncu_Indirim_faz1_Digitalm_interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,250000,1062.5,Externally Managed,Triggers,Selected Sites,4.25,cpm,0.4118,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBXAAY,TurkeyOpp-833,Xaxis Rich Media,2016-02-05,2016-02-08,2125,Teknosa0216_Turuncu_Indirim_faz1_Acunn_interstitial_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,500000,2125,Externally Managed,Triggers,Selected Sites,4.25,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
0063100000ejrBYAAY,TurkeyOpp-778,Xaxis Seeding,2016-02-08,2016-02-13,15,Nike0216_BFI_Faz1_Clipkit_Seeding_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clipkit,25000,15000,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.6,cpc,0.25,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
0063100000ejrBZAAY,TurkeyOpp-792,Xaxis Display Plus,2016-02-01,2016-02-14,1000,Akbank0216_Mtv_Medyanet_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1250000,800,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.8438,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBZAAY,TurkeyOpp-794,Xaxis Display Plus,2016-02-01,2016-02-14,192,Akbank0216_Mtv_HurriyetEmlak_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Hurriyetemlak,240000,192,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.8125,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBZAAY,TurkeyOpp-793,Xaxis Display Plus,2016-02-01,2016-02-14,800,Akbank0216_Mtv_Digitalm_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1000000,800,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.75,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBaAAI,TurkeyOpp-796,Xaxis Display Plus,2016-02-08,2016-02-14,100,Akbank0216_Sevgililer_Gunu_Sem_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Sem Digital,100000,100,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBaAAI,TurkeyOpp-799,Xaxis Display Plus,2016-02-08,2016-02-14,1750,Akbank0216_Sevgililer_Gunu_Medyanet_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,1750000,1450,Externally Managed,Triggers,Selected Sites,1,cpm,0.8793,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBaAAI,TurkeyOpp-800,Xaxis Display Plus,2016-02-08,2016-02-14,1750,Akbank0216_Sevgililer_Gunu_Digitalm_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,1750000,1750,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBaAAI,TurkeyOpp-798,Xaxis Display Plus,2016-02-08,2016-02-14,100,Akbank0216_Sevgililer_Gunu_Clickvol_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Clickvol,100000,100,Externally Managed,Triggers,Selected Sites,1,cpm,0.8395,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBaAAI,TurkeyOpp-797,Xaxis Display Plus,2016-02-08,2016-02-14,100,Akbank0216_Sevgililer_Gunu_Reklamz_interest_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Reklamz,100000,100,Externally Managed,Triggers,Selected Sites,1,cpm,0.979,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBbAAI,TurkeyOpp-795,Xaxis Pin,2016-02-08,2016-02-14,3000,Akbank0216_Sevgililer_Gunu_Popmarker_Pin_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Popmarker,1000000,2500,Externally Managed,Triggers,Selected Sites,3,cpm,0.6,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
0063100000ejrBcAAI,TurkeyOpp-761,Xaxis Rich Media,2016-02-01,2016-02-14,4037.5,Hopi0216_Sevgililer_Gunu_Acunn_interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,950000,4050.67,Externally Managed,Triggers,Interstitial,4.25,cpm,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
