Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId
0063100000ejrAEAAY,TurkeyOpp-390,Xaxis Rich Media,2016-01-01,2016-01-01,1243,HesKablo_0116_Ocak_interstitial_Acunn_MS,Net Cost (Calc Margin),MediaTrader,Acunn,300000,0,Externally Managed,Triggers,Interstitial,4.25,cpm,1,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1275,012i0000001EB0yAAG
0063100000ejrAEAAY,TurkeyOpp-518,Xaxis Rich Media,2016-01-01,2016-01-01,1275,HesKablo_0116_Ocak_interstitial_Digitalm_MS,Net Cost (Calc Margin),MediaTrader,Digitalm,300000,750,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1275,012i0000001EB0yAAG
0063100000ejrAEAAY,TurkeyOpp-1805,Xaxis Rich Media,2016-01-01,2016-01-01,1700,HesKablo_0116_Ocak_interstitial_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,400000,200,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8824,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1700,012i0000001EB0yAAG
0063100000ejrAFAAY,TurkeyOpp-803,Xaxis Rich Media,2016-01-01,2016-01-04,2125,Teknosa_0116_Turuncu_Indirim_Faz1_Interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,500000,450,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7882,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG
0063100000ejrAFAAY,TurkeyOpp-1965,Xaxis Rich Media,2016-01-01,2016-01-04,2125,Teknosa_0116_Turuncu_Indirim_Faz1_Interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,500000,1250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,2125,012i0000001EB0yAAG
0063100000ejrAGAAY,TurkeyOpp-2136,Xaxis Display Plus,2016-01-01,2016-01-07,95,ElcaKozmetik0116_Michael_Kors_interest_Reklamz_MS,Net Cost (Calc Margin),MediaTrader,Reklamz,300000,7.31,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9231,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,390,012i0000001EB0yAAG
0063100000ejrAGAAY,TurkeyOpp-1556,Xaxis Display Plus,2016-01-01,2016-01-07,471.7,ElcaKozmetik0116_Michael_Kors_interest_Nokta_MS,Net Cost (Calc Margin),MediaTrader,Nokta,360000,36,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9237,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,468,012i0000001EB0yAAG
0063100000ejrAGAAY,TurkeyOpp-1572,Xaxis Display Plus,2016-01-01,2016-01-07,478.82,ElcaKozmetik0116_Michael_Kors_interest_Commedya_MS,Net Cost (Calc Margin),MediaTrader,Commedya,360000,36,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9248,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,468,012i0000001EB0yAAG
0063100000ejrAGAAY,TurkeyOpp-1257,Xaxis Display Plus,2016-01-01,2016-01-07,2132,ElcaKozmetik0116_Michael_Kors_interest_Medyanet_MS,Net Cost (Calc Margin),MediaTrader,Medyanet,2000000,200,Externally Managed,Triggers,Selected Sites,1.3,cpm,0.9062,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2600,012i0000001EB0yAAG
0063100000ejrAHAAY,TurkeyOpp-179,Xaxis Display Plus,2016-01-01,2016-01-07,1600,ElcaKozmetik0116_Michael_Kors_Pin_Popmarker_MS,Net Cost (Calc Margin),MediaTrader,Popmarker,533333,533.33,Externally Managed,Triggers,Selected Sites,3,cpm,0.6667,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG
0063100000ejrAIAAY,TurkeyOpp-1512,Xaxis Rich Media,2016-01-01,2016-01-10,0,Avivasa_0116_Ocak_Interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,281000,140.5,Externally Managed,Triggers,Interstitial,4.25,cpm,0,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,1194.25,012i0000001EB0yAAG
