Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Original_Gross_Budget__c,RecordTypeId,Field 24
0063100000emtMSAAY,Turkey:1793,Xaxis Display Plus,2016-04-15,2016-04-30,0,Akbank_0416_Multinational_Best_Local_contextual_Appnexus_MC,Net Cost (Calc Margin),MediaTrader,Appnexus,105000,748,Externally Managed,Triggers,Selected Sites,100,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,10500,012i0000001EB0yAAG,Akbank_0416_Multinational_Best_Local_contextual_MC
0063100000emtMSAAY,Turkey:2196,Xaxis Display Plus,2016-04-15,2016-04-30,0,Akbank_0416_Multinational_Best_Local_contextual_Appnexus_MC,Net Cost (Calc Margin),MediaTrader,Grapeshot,105000,6.3,Externally Managed,Triggers,Selected Sites,100,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,10500,012i0000001EB0yAAG,Akbank_0416_Multinational_Best_Local_contextual_MC
0063100000emtMSAAY,Turkey:2783,Xaxis Display Plus,2016-04-15,2016-04-30,10480,Akbank_0416_Multinational_Best_Local_contextual_Appnexus_MC,Net Cost (Calc Margin),MediaTrader,Google,105000,1812,Externally Managed,Triggers,Selected Sites,100,cpm,0.8271,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,10500,012i0000001EB0yAAG,Akbank_0416_Multinational_Best_Local_contextual_MC
0063100000emtJiAAI,Turkey:2511,Xaxis Display Plus,2016-02-23,2016-02-29,1000,Akbank_Axess_Akaryakit_Digitalm_interest_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,1000000,200,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1000,012i0000001EB0yAAG,Akbank_Axess_Akaryakit_interest_MC
0063100000emtJiAAI,Turkey:3055,Xaxis Display Plus,2016-02-23,2016-02-29,1000,Akbank_Axess_Akaryakit_Medyanet_interest_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,2000000,200,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,2000,012i0000001EB0yAAG,Akbank_Axess_Akaryakit_interest_MC
0063100000emtJiAAI,Turkey:2197,Xaxis Display Plus,2016-02-23,2016-02-29,500,Akbank_Axess_Akaryakit_Nokta_interest_MC,Net Cost (Calc Margin),MediaTrader,Nokta,500000,50,Externally Managed,Triggers,Selected Sites,1,cpm,0.9,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,500,012i0000001EB0yAAG,Akbank_Axess_Akaryakit_interest_MC
0063100000emtJiAAI,Turkey:551,Xaxis Display Plus,2016-02-23,2016-02-29,500,Akbank_Axess_Akaryakit_Matrouge_interest_MC,Net Cost (Calc Margin),MediaTrader,Matrouge,500000,100,Externally Managed,Triggers,Selected Sites,1,cpm,0.8,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,500,012i0000001EB0yAAG,Akbank_Axess_Akaryakit_interest_MC
0063100000emtPnAAI,Turkey:378,Xaxis Display Plus,2016-06-08,2016-06-30,1630,Akbank0616_Axess_Ramazan_interest_medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,3500000,301,Externally Managed,Triggers,Selected Sites,1,cpm,0.8153,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,3500,012i0000001EB0yAAG,Akbank_Axess_Ramazan_interest_MC
0063100000emtPnAAI,Turkey:1342,Xaxis Display Plus,2016-06-08,2016-06-30,2000,Akbank0616_Axess_Ramazan_interest_digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,3500000,401.23,Externally Managed,Triggers,Selected Sites,1,cpm,0.7994,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,3500,012i0000001EB0yAAG,Akbank_Axess_Ramazan_interest_MC
0063100000emtITAAY,Turkey:2140,Xaxis Display Plus,2016-01-01,2016-01-31,1188,Akbank0116_MTV_Interest_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,2000000,378.18,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.6817,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,1600,012i0000001EB0yAAG,Akbank0115_MTV_Interest_MC
