Opportunity__c,External_ID__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c,Id,Original_Gross_Budget__c
0063100000ejrICAAY,TurkeyOpp-622,Xaxis Rich Media,2016-04-06,2016-04-30,995,IKEA0416_Bahar_Yaz_interstitial_Medyanet_MEC,Net Cost (Calc Margin),MediaTrader,Medyanet,1000000,4250,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7659,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKdpOAAS,4250
0063100000ekirKAAQ,TurkeyOpp-779,Xaxis Display Plus,2016-10-01,2016-10-15,0,Vodafone1016_Olimpia_GeneralMobile_Contextual_Bond_MS,Net Cost (Calc Margin),MediaTrader,Bond Digital,1500000,0,Externally Managed,Triggers,Selected Sites,2.5,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeDJAA0,3750
0063100000ekinhAAA,TurkeyOpp-1139,Xaxis Display Plus,2016-07-28,2016-07-31,0,Visa0716_Crossborder_Arapca_Contextual_google_MEC,Net Cost (Calc Margin),MediaTrader,Google,15,0.14,Externally Managed,Triggers,Selected Sites,60,cpm,1,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe7aAAC,0.9
0063100000ekiqfAAA,TurkeyOpp-44,Xaxis Display Plus,2016-09-09,2016-09-30,247.5941,Vodafone0916_Vestel_Olimpia_3rd_Party_Onedio_MS,Net Cost (Calc Margin),MediaTrader,Onedio,550209,1635,Externally Managed,Triggers,Selected Sites,2,cpm,0.8486,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKeCpAAK,1100.42
0063100000ekisUAAQ,TurkeyOpp-574,Xaxis Display Plus,2016-10-21,2016-10-31,0,RedBull1016_Student_Occasion_interest_Ek_Ntv_MEC,Net Cost (Calc Margin),MediaTrader,Dogus,2000,0,Externally Managed,Triggers,Selected Sites,2,cpc,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKe07AAC,4
0063100000ekiqhAAA,TurkeyOpp-45,Xaxis Display Plus,2016-09-27,2016-09-30,26.36,Castrol0916_Carama_LAL_Bannerconnect_MS,Net Cost (Calc Margin),MediaTrader,Bannerconnect,0,0,Externally Managed,Triggers,Selected Sites,2,cpm,0,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdiXAAS,0
0063100000ejrC4AAI,TurkeyOpp-1060,Xaxis Rich Media,2016-02-25,2016-02-29,500,ZorluPsm_Slavas_Snow_Show_Digitalm_interstitial_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,200000,1072,Externally Managed,Triggers,Interstitial,4.25,cpm,0.5336,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKeEgAAK,850
0063100000ejrCjAAI,TurkeyOpp-2288,Xaxis Rich Media,2016-03-04,2016-03-08,125,Bimeks0316_Kdv_Kadar_Bi_Para_Faz1_Medyanet_Intersitital_MEC,Net Cost (Calc Margin),MediaTrader,Medyanet,250000,1125,Externally Managed,Triggers,Selected Sites,4.5,cpm,0.8889,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Digital,a013100000fKdgPAAS,1125
0063100000ejrAJAAY,TurkeyOpp-859,Xaxis Rich Media,2016-01-08,2016-01-11,91.26,Teknosa_0116_Turuncu_Indirim_Faz2_Intersitital_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,Medyanet,400000,775.74,Externally Managed,Triggers,Interstitial,4.25,cpm,0.8824,From spreadsheet: Turkey | Campaign Data,Interstitial,Digital,a013100000fKe30AAC,1700
0063100000ekioYAAQ,TurkeyOpp-1463,Xaxis Display Plus,2016-08-11,2016-08-31,800,Akbank0816_NeoKart_interest_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,Digitalm,4000000,1850,Externally Managed,Triggers,Selected Sites,1,cpm,0.5676,From spreadsheet: Turkey | Campaign Data,Ad Bundles,Display,a013100000fKdZQAA0,4000
