External_Id__c,Id
-995471100,a0163000003IVtNAAW
-762586657,a0163000003IVtOAAW
1481284947,a0163000003IVtPAAW
1292607638,a0163000003IVtQAAW
-84097331,a0163000003IVtRAAW
-1534598639,a0163000003IVtSAAW
-1952722820,a0163000003IVtTAAW
-1779849315,a0163000003IVtUAAW
-360787561,a0163000003IVtVAAW
-1567126976,a0163000003IVtWAAW
-477197135,a0163000003IVtXAAW
-637731242,a0163000003IVtYAAW
1264942049,a0163000003IVtZAAW
-1550938964,a0163000003IVtaAAG
-1341328338,a0163000003IVtbAAG
919787772,a0163000003IVtcAAG
-1397944498,a0163000003IVtdAAG
-550957973,a0163000003IVteAAG
2110197603,a0163000003IVtfAAG
1634950510,a0163000003IVtgAAG
-974184411,a0163000003IVthAAG
-916543054,a0163000003IVtiAAG
-1511205673,a0163000003IVtjAAG
-1065117771,a0163000003IVtkAAG
-22645230,a0163000003IVtlAAG
1117655823,a0163000003IVtmAAG
-578371265,a0163000003IVtnAAG
2020763386,a0163000003IVtoAAG
-18727207,a0163000003IVtpAAG
-1371379233,a0163000003IVtqAAG
2033029278,a0163000003IVtrAAG
-1779571176,a0163000003IVtsAAG
244595766,a0163000003IVttAAG
613995953,a0163000003IVtuAAG
162776249,a0163000003IVtvAAG
-1163059694,a0163000003IVtwAAG
-1067174940,a0163000003IVtxAAG
521207759,a0163000003IVtyAAG
-949438651,a0163000003IVtzAAG
-2053139673,a0163000003IVu0AAG
624301174,a0163000003IVu1AAG
-1954539459,a0163000003IVu2AAG
-1662587272,a0163000003IVu3AAG
1124325923,a0163000003IVu4AAG
1260267962,a0163000003IVu5AAG
2100196717,a0163000003IVu6AAG
-759879219,a0163000003IVu7AAG
-1604349390,a0163000003IVu8AAG
1881586132,a0163000003IVu9AAG
-1279839819,a0163000003IVuAAAW
2099798289,a0163000003IVuBAAW
887664130,a0163000003IVuCAAW
-1649416368,a0163000003IVuDAAW
-1152575470,a0163000003IVuEAAW
368776281,a0163000003IVuFAAW
-766386796,a0163000003IVuGAAW
803078112,a0163000003IVuHAAW
1822513495,a0163000003IVuIAAW
1451733742,a0163000003IVuJAAW
-1980734521,a0163000003IVuKAAW
-130957659,a0163000003IVuLAAW
957394508,a0163000003IVuMAAW
73055036,a0163000003IVuNAAW
-1384101442,a0163000003IVuOAAW
53888501,a0163000003IVuPAAW
942714444,a0163000003IVuQAAW
-1398781506,a0163000003IVuRAAW
73018172,a0163000003IVuSAAW
496965345,a0163000003IVuTAAW
651948941,a0163000003IVuUAAW
-2006057018,a0163000003IVuVAAW
-1303702401,a0163000003IVuWAAW
2049609437,a0163000003IVuXAAW
-480409847,a0163000003IVuYAAW
1307282242,a0163000003IVuZAAW
-646222672,a0163000003IVuaAAG
1541159520,a0163000003IVubAAG
498727176,a0163000003IVucAAG
1573564532,a0163000003IVudAAG
-742197018,a0163000003IVueAAG
-1973926010,a0163000003IVufAAG
-1849265751,a0163000003IVugAAG
-1080254280,a0163000003IVuhAAG
2037146289,a0163000003IVuiAAG
-871584224,a0163000003IVujAAG
-1261899734,a0163000003IVukAAG
-1470618804,a0163000003IVulAAG
1157999621,a0163000003IVumAAG
78399241,a0163000003IVunAAG
-877195542,a0163000003IVuoAAG
-835679331,a0163000003IVupAAG
888493579,a0163000003IVuqAAG
-430144102,a0163000003IVurAAG
20033845,a0163000003IVusAAG
-1364609854,a0163000003IVutAAG
-1687333892,a0163000003IVuuAAG
-2141324971,a0163000003IVuvAAG
-1395725533,a0163000003IVuwAAG
-993747477,a0163000003IVuxAAG
-202594415,a0163000003IVuyAAG
52346315,a0163000003IVuzAAG
-537643198,a0163000003IVv0AAG
-674169027,a0163000003IVv1AAG
1016153269,a0163000003IVv2AAG
