Opportunity__c,External_Id__c,Product_Detail__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Supplier_Name__c,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Current_Margin__c,Current_Margin_Explanation__c,Formats__c,Media_Code__c
006630000042dGZAAY,-84721965,Xaxis Display Plus,5/13/2016,5/31/2016,400,Vodafone0516_Cepte_Wifi_interest_Nokta_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Nokta,500000,400,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.875,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bZLAAY,-1012864252,Xaxis Tv,2/9/2016,2/29/2016,2310,GSK0216_Breathe_Right_Acunn_Preroll_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,70000,2310,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.033,cpv,1,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cfJAAQ,-1214452849,Xaxis Rich Media,5/1/2016,5/15/2016,1785,Bridgestone0516_Imaj_Kampanyasi_interstitial_Medyanet_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,420000,1022,Externally Managed,Triggers,Interstitial,4.25,cpm,0.7945,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042ceqAAA,1744962461,Xaxis Mobil,5/1/2016,5/3/2016,1150,Ozmo0516_imaj_kampanyasi_mobil_Move_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Move,23000,1142.55,Externally Managed,Triggers,Pre/Mid/Post Rolls RON,0.05,cpv,0.4967,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Online Video,Digital
006630000042cecAAA,-690591181,Xaxis Display Plus,4/9/2016,4/30/2016,700,Vodafone0416_Red_Beymen_interest_Sem_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Sem Digital,500000,904.85,Externally Managed,Triggers,Selected Sites,1.4,cpm,0.8895,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cf1AAA,719083178,Xaxis Display Plus,5/1/2016,5/7/2016,480,Altinbas0516_Anneler_Gunu_interest_Bond_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Bond Digital,600000,441.37,Externally Managed,Triggers,Selected Sites,0.8,cpm,0.375,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042bXsAAI,1063712852,Xaxis Pin,1/7/2016,1/31/2016,6000,ElcaKozmetik0116_Dorphin8_Pin_Popmarker_MS,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Popmarker,2000000,3000,Externally Managed,Triggers,Selected Sites,3,cpm,0.3333,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Ad Bundles,Digital
006630000042cdKAAQ,1512448800,Xaxis Rich Media,4/1/2016,4/4/2016,850,Teknosa0416_Turuncu_Indirim_faz1_interstitial_Digitalm_MC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Digitalm,200000,850,Externally Managed,Triggers,Interstitial,4.25,cpm,0.4118,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bYaAAI,-775227249,Xaxis Rich Media,2/4/2016,2/7/2016,1125,Bimeks0216_Binlerce_Urun_Kdv_Kadar_Bipara_Medyanet_interstitial_MEC,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Medyanet,250000,1125,Externally Managed,Triggers,Interstitial,4.5,cpm,0.8889,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
006630000042bYmAAI,-805915525,Xaxis Rich Media,2/10/2016,2/21/2016,850,Karcher0216_Acunn_interstitial_MX,Net Cost (Calc Margin),MediaTrader,012i0000001EB0yAAG,Acunn,200000,0,Externally Managed,Triggers,Interstitial,4.25,cpm,0,From spreadsheet: Tracker_2016_3_4_Son_with Salesforce mapping v1.0,Interstitial,Digital
